"clube","cartao","atleta"
"Figueirense","Amarelo","Paulo Roberto da Silva"
"Figueirense","Amarelo","Thiago Heleno"
"Internacional","Amarelo","Andrés D'Alessandro"
"Vitoria","Amarelo","Marcelo Machado dos Santos"
"Vitoria","Amarelo","Mansur"
"Internacional","Amarelo","Juan Silveira dos Santos"
"Vitoria","Amarelo","Vinícius Santos Silva"
"Coritiba","Amarelo","Carlos Emiliano Pereira"
"Bahia","Amarelo","Cristian Chagas Tarouco"
"Bahia","Amarelo","Rhayner"
"Cruzeiro","Amarelo","Willian Farias"
"Cruzeiro","Amarelo","Willian Gomes de Siqueira"
"Bahia","Amarelo","Pará"
"Bahia","Amarelo","Fahel"
"Cruzeiro","Amarelo","Paulo César Tinga"
"Cruzeiro","Amarelo","Nílton Ferreira Júnior"
"Botafogo-RJ","Amarelo","Marcelo Mattos"
"Sao Paulo","Amarelo","Álvaro Pereira"
"Botafogo-RJ","Amarelo","Juan Carlos Ferreyra"
"Athletico-PR","Amarelo","Paulinho Dias"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Gremio","Amarelo","Edinho"
"Flamengo","Amarelo","Wallace Reis da Silva"
"Flamengo","Amarelo","Léo Moura"
"Goias","Amarelo","Thiago Henrique Mendes Ribeiro"
"Flamengo","Amarelo","Lucas Mugni"
"Flamengo","Amarelo","Maurício Azevedo Alves"
"Goias","Amarelo","Tiago Real"
"Santos","Amarelo","Jubal Rocha Mendes Júnior"
"Sport","Amarelo","Luiz Antonio Linhares Garcia"
"Sport","Amarelo","Neto Baiano"
"Sport","Amarelo","Rodrigo Mancha"
"Palmeiras","Amarelo","Josimar"
"Palmeiras","Amarelo","Marcelo Oliveira Ferreira"
"Criciuma","Amarelo","Silvinho"
"Criciuma","Amarelo","João Vitor Lima Gomes"
"Palmeiras","Amarelo","Fernando Prass"
"Palmeiras","Amarelo","Jorge Valdivia"
"Criciuma","Amarelo","Sergio Escudero"
"Palmeiras","Amarelo","Alan Kardec"
"Coritiba","Amarelo","José Gildeixon Clemente de Paiva"
"Coritiba","Amarelo","Luccas Claro"
"Santos","Amarelo","Alan Santos da Silva"
"Santos","Amarelo","Neuciano Gusmão"
"Coritiba","Amarelo","Zé Love"
"Santos","Amarelo","Stéfano Yuri"
"Santos","Amarelo","Alison Lopes Ferreira"
"Fluminense","Amarelo","Wagner Ferreira dos Santos"
"Palmeiras","Amarelo","Jorge Valdivia"
"Fluminense","Amarelo","Darío Conca"
"Vitoria","Amarelo","Dão"
"Athletico-PR","Amarelo","Dráusio Luis Salla Gil"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Cruzeiro","Amarelo","Miguel Samudio"
"Sao Paulo","Amarelo","Álvaro Pereira"
"Botafogo-RJ","Amarelo","Edílson Mendes Guimarães"
"Internacional","Amarelo","Otávio"
"Internacional","Amarelo","Gladestony"
"Botafogo-RJ","Vermelho","Lucas Rios Marques"
"Botafogo-RJ","Amarelo","Airton Ribeiro Santos"
"Internacional","Amarelo","Charles Aránguiz"
"Internacional","Amarelo","Willians Domingos Fernandes"
"Flamengo","Vermelho","Léo Moura"
"Corinthians","Amarelo","Ralf de Souza Teles"
"Flamengo","Amarelo","Víctor Cáceres"
"Corinthians","Amarelo","Paolo Guerrero"
"Sport","Amarelo","Danilo Barcelos"
"Chapecoense","Amarelo","Rafael Lima"
"Figueirense","Amarelo","Marcos Assunção"
"Figueirense","Amarelo","Paulo Roberto da Silva"
"Bahia","Amarelo","Demerson Bruno Costa"
"Figueirense","Amarelo","Thiago Heleno"
"Bahia","Amarelo","Fahel"
"Gremio","Amarelo","Rodrigo Eduardo Costa Marinho"
"Atletico-MG","Amarelo","André Felipe Ribeiro de Souza"
"Atletico-MG","Amarelo","Nicolás Otamendi"
"Gremio","Vermelho","Bressan"
"Gremio","Amarelo","Bressan"
"Gremio","Amarelo","Alan Ruiz"
"Atletico-MG","Amarelo","Leonardo Silva"
"Criciuma","Amarelo","Bruno Lopes"
"Athletico-PR","Vermelho","Dráusio Luis Salla Gil"
"Athletico-PR","Amarelo","Natanael Batista Pimenta"
"Athletico-PR","Amarelo","Cleberson Martins de Souza"
"Cruzeiro","Amarelo","Wallace Fortuna dos Santos"
"Athletico-PR","Amarelo","Weverton Pereira da Silva"
"Cruzeiro","Amarelo","Elierce Barbosa de Souza"
"Cruzeiro","Amarelo","Luan Michel Louzã"
"Santos","Amarelo","Alan Santos da Silva"
"Gremio","Amarelo","Edinho"
"Sao Paulo","Amarelo","Luís Fabiano"
"Sao Paulo","Amarelo","Alexandre Pato"
"Coritiba","Amarelo","Luccas Claro"
"Sao Paulo","Amarelo","Antônio Carlos dos Santos Aguiar"
"Coritiba","Amarelo","Leandro Almeida"
"Coritiba","Amarelo","Zé Love"
"Fluminense","Amarelo","Fred"
"Vitoria","Amarelo","Souza"
"Criciuma","Amarelo","Rodrigo Silva"
"Figueirense","Amarelo","Rivaldo Barbosa de Souza"
"Figueirense","Amarelo","Tiago Luis Volpi"
"Figueirense","Vermelho","Nirley da Silva Fonseca"
"Figueirense","Amarelo","Thiago Heleno"
"Figueirense","Amarelo","Paulo Roberto da Silva"
"Figueirense","Amarelo","Nirley da Silva Fonseca"
"Flamengo","Amarelo","André Santos"
"Palmeiras","Amarelo","William Mendieta"
"Palmeiras","Amarelo","Juninho"
"Flamengo","Amarelo","Negueba"
"Palmeiras","Amarelo","Henrique Dourado"
"Palmeiras","Amarelo","Josimar"
"Bahia","Amarelo","Lincoln Cássio de Souza Soares"
"Bahia","Amarelo","Uelliton da Silva Vieira"
"Botafogo-RJ","Amarelo","Matheus Dória Macedo"
"Botafogo-RJ","Amarelo","Gabriel Girotto Franco"
"Bahia","Amarelo","Anderson Talisca"
"Bahia","Amarelo","Marcelo Lomba"
"Botafogo-RJ","Amarelo","Edílson Mendes Guimarães"
"Botafogo-RJ","Amarelo","Júnior César"
"Internacional","Amarelo","Charles Aránguiz"
"Sport","Amarelo","Ananias Elói Castro Monteiro"
"Internacional","Amarelo","Juan Silveira dos Santos"
"Sport","Amarelo","Luiz Antonio Linhares Garcia"
"Chapecoense","Amarelo","Rafael Lima"
"Chapecoense","Amarelo","André Luiz Paulino de Souza Motta"
"Corinthians","Amarelo","Guilherme dos Santos Torres"
"Chapecoense","Amarelo","Neuton"
"Corinthians","Amarelo","Fagner"
"Corinthians","Amarelo","Romarinho"
"Atletico-MG","Amarelo","Victor"
"Goias","Amarelo","Tiago Real"
"Atletico-MG","Amarelo","Claudinei Junio de Souza"
"Palmeiras","Amarelo","Jorge Valdivia"
"Palmeiras","Amarelo","Wesley Lopes Beltrame"
"Goias","Amarelo","Jackson de Souza"
"Goias","Amarelo","Alex Alves Cardoso"
"Palmeiras","Amarelo","Henrique Dourado"
"Palmeiras","Amarelo","Fábio Szymonek"
"Palmeiras","Amarelo","Lucimar da Silva Ferreira"
"Goias","Amarelo","Edson Pereira Lisboa"
"Goias","Amarelo","Willian José de Souza"
"Internacional","Amarelo","Willians Domingos Fernandes"
"Athletico-PR","Amarelo","Deivid Willian da Silva"
"Internacional","Amarelo","Charles Aránguiz"
"Internacional","Amarelo","Alex Raphael Meschini"
"Botafogo-RJ","Amarelo","Matheus Dória Macedo"
"Criciuma","Amarelo","Bruno Lopes"
"Criciuma","Amarelo","Fábio Ferreira"
"Criciuma","Amarelo","Rodrigo Souza"
"Criciuma","Amarelo","Carlos Eduardo Santos Oliveira"
"Criciuma","Amarelo","Sérgio Antônio Borges Júnior"
"Cruzeiro","Vermelho","Marcelo Moreno"
"Atletico-MG","Amarelo","Alex da Silva"
"Atletico-MG","Amarelo","Leonardo Silva"
"Atletico-MG","Amarelo","André Felipe Ribeiro de Souza"
"Cruzeiro","Amarelo","Jonathan Marlone"
"Cruzeiro","Vermelho","Luan Michel Louzã"
"Atletico-MG","Amarelo","Leandro Donizete"
"Atletico-MG","Amarelo","Victor"
