"clube","atleta","tipo_de_gol"
"Fluminense","Rafael Sóbis","Regular"
"Fluminense","Nirley da Silva Fonseca","Contra"
"Fluminense","Fred","Penalti"
"Internacional","Charles Aránguiz","Regular"
"Cruzeiro","Nílton Ferreira Júnior","Regular"
"Bahia","Anderson Talisca","Penalti"
"Cruzeiro","Marcelo Moreno","Regular"
"Sao Paulo","Douglas Pereira dos Santos","Regular"
"Sao Paulo","Luís Fabiano","Regular"
"Sao Paulo","Antônio Carlos dos Santos Aguiar","Regular"
"Athletico-PR","Dráusio Luis Salla Gil","Regular"
"Santos","Gabriel Barbosa","Regular"
"Sport","Neto Baiano","Regular"
"Palmeiras","Alan Kardec","Regular"
"Criciuma","Paulo Baier","Regular"
"Palmeiras","Leandro","Regular"
"Fluminense","Rafael Sóbis","Regular"
"Athletico-PR","Mosquito","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Vitoria","Telmário de Araújo Sacramento","Regular"
"Vitoria","José Welison","Regular"
"Cruzeiro","Júlio Baptista","Regular"
"Sao Paulo","Antônio Carlos dos Santos Aguiar","Regular"
"Internacional","Rafael Moura","Regular"
"Internacional","Rafael Moura","Regular"
"Botafogo-RJ","Emerson Sheik","Regular"
"Botafogo-RJ","Pablo Zeballos","Regular"
"Corinthians","Guilherme dos Santos Torres","Regular"
"Corinthians","Carlos Gilberto do Nascimento Silva","Regular"
"Sport","Rithely","Regular"
"Sport","Ananias Elói Castro Monteiro","Regular"
"Chapecoense","Ricardo Conceição","Regular"
"Bahia","Lincoln Cássio de Souza Soares","Regular"
"Bahia","Fahel","Regular"
"Gremio","Alan Ruiz","Regular"
"Gremio","Lucas Coelho","Regular"
"Atletico-MG","Luiz Fernando Pereira da Silva","Regular"
"Goias","Willian José de Souza","Regular"
"Cruzeiro","Elierce Barbosa de Souza","Penalti"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Cruzeiro","Nílton Ferreira Júnior","Regular"
"Cruzeiro","Marcelo Moreno","Regular"
"Athletico-PR","Éderson Alves Ribeiro Silva","Regular"
"Sao Paulo","Ademilson","Regular"
"Coritiba","Róbson Michael Signorini","Regular"
"Coritiba","Luis Francisco Grando","Regular"
"Sao Paulo","Alexandre Pato","Regular"
"Vitoria","Marcos Antônio da Silva Gonçalves","Regular"
"Vitoria","Marcos Antônio da Silva Gonçalves","Regular"
"Fluminense","Wagner Ferreira dos Santos","Regular"
"Criciuma","Silvinho","Regular"
"Flamengo","Márcio Rodrigues Araújo","Regular"
"Palmeiras","Henrique Dourado","Regular"
"Flamengo","Alecsandro","Regular"
"Flamengo","Alecsandro","Regular"
"Flamengo","Paulinho","Regular"
"Palmeiras","Wesley Lopes Beltrame","Regular"
"Bahia","Maxi Biancucchi","Regular"
"Internacional","Charles Aránguiz","Regular"
"Sport","Patric Cabral Lalau","Regular"
"Internacional","Andrés D'Alessandro","Regular"
"Corinthians","Paolo Guerrero","Regular"
"Goias","David França Oliveira e Silva","Regular"
"Palmeiras","Lucimar da Silva Ferreira","Regular"
"Palmeiras","Henrique Dourado","Regular"
"Internacional","Alan Patrick","Regular"
"Athletico-PR","Marcos Guilherme","Regular"
"Internacional","Andrés D'Alessandro","Regular"
"Botafogo-RJ","Emerson Sheik","Regular"
"Botafogo-RJ","Daniel Corrêa Freitas","Regular"
"Botafogo-RJ","Emerson Sheik","Regular"
"Botafogo-RJ","Wallyson","Regular"
"Botafogo-RJ","Daniel Corrêa Freitas","Regular"
"Botafogo-RJ","Daniel Corrêa Freitas","Regular"
"Cruzeiro","Marcelo Moreno","Regular"
"Atletico-MG","André Felipe Ribeiro de Souza","Penalti"
"Atletico-MG","Marion Silva Fernandes","Regular"
"Gremio","Hernán Barcos","Regular"
"Chapecoense","Tiago Luís Martins","Regular"
"Gremio","Hernán Barcos","Regular"
"Fluminense","Fred","Regular"
"Fluminense","Francisco Souza dos Santos","Regular"
"Sao Paulo","Luís Fabiano","Regular"
"Corinthians","Fagner","Regular"
"Santos","Arouca","Regular"
"Santos","Gabriel Barbosa","Regular"
"Sport","Rithely","Regular"
"Bahia","Pará","Regular"
"Vitoria","Souza","Regular"
"Goias","Ramón Rodrigo de Freitas","Regular"
"Goias","Danilo Lopes Cezario","Regular"
"Cruzeiro","Borges","Regular"
"Coritiba","Alexsandro de Souza","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Coritiba","Norberto Pereira Marinho Neto","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Sao Paulo","Paulo Henrique Ganso","Regular"
"Sao Paulo","Paulo Henrique Ganso","Regular"
"Gremio","Rodrigo Eduardo Costa Marinho","Regular"
"Figueirense","Giovanni Augusto","Regular"
"Chapecoense","Tiago Luís Martins","Regular"
"Athletico-PR","Cleberson Martins de Souza","Regular"
"Palmeiras","Marquinhos","Regular"
"Atletico-MG","André Felipe Ribeiro de Souza","Regular"
"Santos","Cícero Santos","Regular"
"Atletico-MG","André Felipe Ribeiro de Souza","Regular"
"Bahia","Anderson Talisca","Regular"
"Flamengo","Paulinho","Regular"
"Coritiba","Alexsandro de Souza","Penalti"
"Internacional","Wellington Paulista","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Cruzeiro","Marcelo Moreno","Regular"
"Criciuma","Silvinho","Regular"
"Sao Paulo","Rogério Ceni","Penalti"
"Fluminense","Rafael Sóbis","Regular"
"Fluminense","Walter Henrique da Silva","Regular"
"Sao Paulo","Alexandre Pato","Regular"
"Fluminense","Walter Henrique da Silva","Regular"
"Fluminense","Lucas Cavalcante Silva Afonso","Contra"
"Fluminense","Wagner Ferreira dos Santos","Regular"
"Botafogo-RJ","Pablo Zeballos","Regular"
"Gremio","Rodrigo Eduardo Costa Marinho","Regular"
"Gremio","Maximiliano Rodríguez Maeso","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Corinthians","Jadson","Penalti"
"Santos","Geuvânio","Regular"
"Santos","Cícero Santos","Penalti"
"Goias","Alex Alves Cardoso","Regular"
"Goias","Erik Nascimento de Lima","Regular"
"Palmeiras","Henrique Dourado","Regular"
"Atletico-MG","Rafael Berger","Contra"
"Atletico-MG","Réver","Regular"
"Vitoria","Telmário de Araújo Sacramento","Regular"
"Vitoria","Willie Hortêncio Barbosa","Regular"
"Atletico-MG","Jesús Dátolo","Regular"
"Fluminense","Kenedy","Regular"
"Sao Paulo","Lucas Cavalcante Silva Afonso","Regular"
"Sport","Augusto","Regular"
"Corinthians","Romarinho","Regular"
"Corinthians","Jadson","Penalti"
"Corinthians","Romarinho","Regular"
"Corinthians","Jadson","Regular"
"Athletico-PR","Marcos Guilherme","Regular"
"Athletico-PR","Luccas Claro","Contra"
"Goias","Jackson de Souza","Regular"
"Cruzeiro","Marcelo Moreno","Regular"
"Internacional","Wellington Aparecido Martins","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Cruzeiro","Willian Gomes de Siqueira","Regular"
"Botafogo-RJ","Emerson Sheik","Regular"
"Vitoria","Telmário de Araújo Sacramento","Regular"
"Chapecoense","Derivaldo Beserra Cavalcante","Regular"
"Chapecoense","Tiago Luís Martins","Regular"
"Criciuma","Fábio Ferreira","Regular"
"Botafogo-RJ","Mario Bolatti","Regular"
"Botafogo-RJ","Pablo Zeballos","Regular"
"Internacional","Wellington Paulista","Regular"
"Internacional","Wellington Paulista","Regular"
"Corinthians","Paolo Guerrero","Regular"
"Atletico-MG","Jesús Dátolo","Regular"
"Atletico-MG","Diego Tardelli","Regular"
"Athletico-PR","Cléverson Gabriel Córdova","Regular"
"Sao Paulo","Luís Fabiano","Regular"
"Sao Paulo","Rogério Ceni","Penalti"
"Athletico-PR","Renato Baruffi","Regular"
"Flamengo","Alecsandro","Regular"
"Figueirense","Everaldo Stum","Regular"
"Santos","Alan Santos da Silva","Regular"
"Santos","Lucas Rafael Araújo Lima","Regular"
"Coritiba","Alexsandro de Souza","Regular"
"Coritiba","Keirrison","Regular"
"Coritiba","Dener Assunção Braz","Regular"
"Sao Paulo","Dorlan Pabón","Regular"
"Atletico-MG","Josué Anunciado de Oliveira","Regular"
"Sao Paulo","Luís Fabiano","Regular"
"Sport","Neto Baiano","Regular"
"Chapecoense","José Carlos Tofolo Júnior","Regular"
"Bahia","Demerson Bruno Costa","Regular"
"Chapecoense","Abuda","Regular"
"Cruzeiro","Borges","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Cruzeiro","Éverton Ribeiro","Regular"
"Santos","Diego Cardoso","Regular"
"Santos","Gabriel Barbosa","Regular"
"Fluminense","Jean Raphael Vanderlei Moreira","Regular"
"Internacional","Jorge Henrique","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Figueirense","Everaldo Stum","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Corinthians","Jadson","Regular"
"Botafogo-RJ","Edílson Mendes Guimarães","Regular"
"Sport","Mike dos Santos Nenatarvicius","Regular"
"Sport","Neto Baiano","Regular"
"Figueirense","Everaldo Stum","Regular"
"Figueirense","Thiago Heleno","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Athletico-PR","Cleberson Martins de Souza","Regular"
"Flamengo","Samir","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Sao Paulo","Rogério Ceni","Penalti"
"Fluminense","Darío Conca","Regular"
"Fluminense","Matheus Carvalho","Regular"
"Criciuma","Paulo Baier","Penalti"
"Criciuma","Paulo Baier","Regular"
"Criciuma","Sérgio Antônio Borges Júnior","Regular"
"Santos","Bruno Uvini","Regular"
"Santos","Alison Lopes Ferreira","Regular"
"Internacional","Cláudio Winck","Regular"
"Corinthians","Paolo Guerrero","Regular"
"Corinthians","Fagner","Regular"
"Cruzeiro","Rafael Berger","Contra"
"Cruzeiro","Éverton Ribeiro","Regular"
"Vitoria","Ayrton Ganino","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Chapecoense","Ricardo Conceição","Regular"
"Gremio","Giuliano Victor de Paula","Regular"
"Atletico-MG","Luan Madson Gedeão de Paiva","Regular"
"Bahia","Cristian Chagas Tarouco","Regular"
"Botafogo-RJ","Mario Bolatti","Regular"
"Palmeiras","Fernando Tobio","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Cruzeiro","Manoel Messias Silva Carvalho","Regular"
"Internacional","Andrés D'Alessandro","Penalti"
"Internacional","Rafael Moura","Regular"
"Internacional","Fabrício dos Santos Silva","Regular"
"Internacional","Alex Raphael Meschini","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Fluminense","Darío Conca","Regular"
"Cruzeiro","Dagoberto Pelentier","Regular"
"Cruzeiro","Lucas Silva Borges","Penalti"
"Cruzeiro","Marcos Antônio da Silva Gonçalves","Regular"
"Cruzeiro","Dedé","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Santos","Diego Cardoso","Regular"
"Santos","Rildo de Andrade Felicissimo","Regular"
"Santos","Gabriel Barbosa","Regular"
"Vitoria","Ayrton Ganino","Regular"
"Criciuma","Sérgio Antônio Borges Júnior","Regular"
"Vitoria","Caio Canedo Corrêa","Regular"
"Vitoria","Caio Canedo Corrêa","Regular"
"Internacional","Wellington do Nascimento Silva","Regular"
"Sport","Felipe Azevedo","Regular"
"Sport","Durval","Regular"
"Atletico-MG","Diego Tardelli","Penalti"
"Sao Paulo","Kaká","Regular"
"Goias","Willian José de Souza","Regular"
"Goias","Bruno Mineiro","Regular"
"Corinthians","Petros","Regular"
"Corinthians","Paolo Guerrero","Regular"
"Fluminense","Jean Raphael Vanderlei Moreira","Regular"
"Fluminense","Darío Conca","Penalti"
"Fluminense","Cícero Santos","Regular"
"Gremio","Hernán Barcos","Regular"
"Coritiba","Alexsandro de Souza","Regular"
"Gremio","Hernán Barcos","Regular"
"Coritiba","Zé Love","Regular"
"Coritiba","Zé Love","Regular"
"Flamengo","Alecsandro","Regular"
"Botafogo-RJ","Edílson Mendes Guimarães","Regular"
"Cruzeiro","Leonardo Renan Simões de Lacerda","Regular"
"Criciuma","Rodrigo Souza","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Vitoria","Caio Canedo Corrêa","Regular"
"Vitoria","Caio Canedo Corrêa","Regular"
"Gremio","Hernán Barcos","Regular"
"Palmeiras","Henrique Dourado","Regular"
"Bahia","Kieza","Regular"
"Chapecoense","Rafael Lima","Regular"
"Figueirense","Clayton da Silveira da Silva","Regular"
"Figueirense","Marco Antônio Miranda Filho","Regular"
"Figueirense","Léo Lisboa","Regular"
"Fluminense","David França Oliveira e Silva","Contra"
"Fluminense","Cícero Santos","Regular"
"Internacional","Rafael Moura","Regular"
"Atletico-MG","Leonardo Silva","Regular"
"Athletico-PR","Marcos Guilherme","Regular"
"Atletico-MG","Léo Pereira","Contra"
"Atletico-MG","Deivid Willian da Silva","Contra"
"Chapecoense","Jailton","Regular"
"Atletico-MG","Leonardo Silva","Regular"
"Bahia","Fahel","Regular"
"Coritiba","Germano Borovicz Cardoso Schweger","Regular"
"Fluminense","Elivélton","Regular"
"Flamengo","Eduardo da Silva","Regular"
"Athletico-PR","Douglas Coutinho","Regular"
"Athletico-PR","Cléverson Gabriel Córdova","Regular"
"Corinthians","Carlos Gilberto do Nascimento Silva","Regular"
"Internacional","Charles Aránguiz","Regular"
"Internacional","Cláudio Winck","Regular"
"Atletico-MG","Jesús Dátolo","Regular"
"Palmeiras","Henrique Dourado","Regular"
"Atletico-MG","Diego Tardelli","Regular"
"Figueirense","Marcos Roberto da Silva Barbosa","Regular"
"Sao Paulo","Alexandre Pato","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Vitoria","Kadu","Regular"
"Sao Paulo","Alexandre Pato","Regular"
"Internacional","Pedro Henrique Pereira da Silva","Contra"
"Bahia","Kieza","Regular"
"Corinthians","Carlos Gilberto do Nascimento Silva","Regular"
"Gremio","Lucas Coelho","Regular"
"Gremio","Luan Guilherme de Jesus Vieira","Penalti"
"Flamengo","Éverton Cardoso da Silva","Regular"
"Cruzeiro","Marcelo Moreno","Regular"
"Cruzeiro","Ricardo Goulart","Regular"
"Cruzeiro","Júlio Baptista","Regular"
"Palmeiras","Henrique Dourado","Penalti"
"Sao Paulo","Alexandre Pato","Regular"
"Sao Paulo","Alan Kardec","Regular"
"Botafogo-RJ","Daniel Corrêa Freitas","Regular"
"Botafogo-RJ","Pablo Zeballos","Regular"
"Figueirense","Clayton da Silveira da Silva","Regular"
"Figueirense","Leonardo Silva","Contra"
"Atletico-MG","Jesús Dátolo","Regular"
"Atletico-MG","Diego Tardelli","Penalti"
"Sport","Régis","Regular"
"Athletico-PR","Cleberson Martins de Souza","Regular"
"Sport","Fábio Szymonek","Contra"
"Sport","Patric Cabral Lalau","Regular"
"Palmeiras","Henrique Dourado","Regular"
"Figueirense","Clayton da Silveira da Silva","Regular"
