"mandante","visitante","vencedor","mandante_Placar","visitante_Placar","vencedor_Estado"
"Guarani","Vasco","Guarani","4","2","SP"
"Athletico-PR","Gremio","Athletico-PR","2","0","PR"
"Flamengo","Coritiba","Empate","1","1",""
"Goias","Paysandu","Empate","2","2",""
"Internacional","Ponte Preta","Empate","1","1",""
"Criciuma","Fluminense","Criciuma","2","0","SC"
"Juventude","Sao Paulo","Empate","2","2",""
"Fortaleza","Bahia","Empate","0","0",""
"Cruzeiro","Sao Caetano","Empate","2","2",""
"Vitoria","Figueirense","Empate","1","1",""
"Santos","Parana","Empate","2","2",""
"Corinthians","Atletico-MG","Atletico-MG","0","3","MG"
"Fluminense","Fortaleza","Empate","1","1",""
"Atletico-MG","Santos","Empate","0","0",""
"Coritiba","Internacional","Internacional","0","1","RS"
"Gremio","Guarani","Gremio","3","1","RS"
"Bahia","Flamengo","Flamengo","1","2","RJ"
"Figueirense","Corinthians","Empate","3","3",""
"Paysandu","Vitoria","Vitoria","1","2","BA"
"Ponte Preta","Juventude","Ponte Preta","1","0","SP"
"Parana","Athletico-PR","Parana","3","0","PR"
"Sao Caetano","Criciuma","Sao Caetano","3","2","SP"
"Sao Paulo","Cruzeiro","Cruzeiro","2","4","MG"
"Vasco","Goias","Vasco","6","4","RJ"
"Paysandu","Santos","Paysandu","2","1","PA"
"Internacional","Bahia","Internacional","2","0","RS"
"Santos","Figueirense","Santos","2","0","SP"
"Athletico-PR","Atletico-MG","Atletico-MG","1","2","MG"
"Corinthians","Paysandu","Corinthians","6","1","SP"
"Vitoria","Vasco","Vitoria","2","1","BA"
"Criciuma","Sao Paulo","Empate","1","1",""
"Fortaleza","Sao Caetano","Empate","1","1",""
"Juventude","Coritiba","Juventude","2","1","RS"
"Guarani","Parana","Guarani","2","0","SP"
"Goias","Gremio","Empate","1","1",""
"Cruzeiro","Ponte Preta","Cruzeiro","3","0","MG"
"Flamengo","Fluminense","Flamengo","4","1","RJ"
"Bahia","Juventude","Bahia","3","1","BA"
"Gremio","Vitoria","Gremio","2","1","RS"
"Atletico-MG","Guarani","Atletico-MG","3","2","MG"
"Figueirense","Athletico-PR","Empate","1","1",""
"Ponte Preta","Criciuma","Empate","1","1",""
"Sao Caetano","Flamengo","Empate","1","1",""
"Vasco","Corinthians","Empate","2","2",""
"Coritiba","Cruzeiro","Cruzeiro","3","4","MG"
"Fluminense","Internacional","Fluminense","3","1","RJ"
"Sao Paulo","Fortaleza","Sao Paulo","3","1","SP"
"Parana","Goias","Parana","3","1","PR"
"Flamengo","Cruzeiro","Flamengo","3","0","RJ"
"Bahia","Atletico-MG","Atletico-MG","2","4","MG"
"Sao Caetano","Gremio","Empate","1","1",""
"Flamengo","Santos","Santos","0","2","SP"
"Sao Paulo","Vasco","Sao Paulo","3","1","SP"
"Internacional","Corinthians","Internacional","2","1","RS"
"Criciuma","Guarani","Criciuma","1","0","SC"
"Juventude","Vitoria","Empate","1","1",""
"Fortaleza","Athletico-PR","Fortaleza","1","0","CE"
"Ponte Preta","Paysandu","Empate","4","4",""
"Cruzeiro","Goias","Cruzeiro","4","1","MG"
"Fluminense","Parana","Empate","0","0",""
"Coritiba","Figueirense","Coritiba","1","0","PR"
"Atletico-MG","Coritiba","Coritiba","1","2","PR"
"Parana","Bahia","Parana","3","1","PR"
"Vitoria","Internacional","Internacional","0","3","RS"
"Guarani","Cruzeiro","Empate","1","1",""
"Corinthians","Flamengo","Empate","1","1",""
"Goias","Juventude","Goias","7","0","GO"
"Figueirense","Ponte Preta","Empate","0","0",""
"Santos","Fortaleza","Santos","4","0","SP"
"Gremio","Fluminense","Fluminense","0","1","RJ"
"Athletico-PR","Criciuma","Athletico-PR","4","2","PR"
"Paysandu","Sao Paulo","Paysandu","5","2","PA"
"Vasco","Sao Caetano","Vasco","1","0","RJ"
"Flamengo","Vitoria","Flamengo","2","1","RJ"
"Bahia","Gremio","Bahia","2","1","BA"
"Cruzeiro","Athletico-PR","Cruzeiro","5","2","MG"
"Fortaleza","Corinthians","Corinthians","1","2","SP"
"Sao Paulo","Figueirense","Sao Paulo","3","2","SP"
"Sao Caetano","Paysandu","Sao Caetano","2","0","SP"
"Internacional","Goias","Internacional","2","1","RS"
"Ponte Preta","Atletico-MG","Ponte Preta","2","1","SP"
"Juventude","Guarani","Empate","1","1",""
"Coritiba","Parana","Coritiba","2","1","PR"
"Criciuma","Santos","Santos","1","3","SP"
"Fluminense","Vasco","Empate","0","0",""
"Goias","Flamengo","Empate","1","1",""
"Santos","Cruzeiro","Cruzeiro","0","2","MG"
"Parana","Ponte Preta","Parana","3","2","PR"
"Corinthians","Criciuma","Corinthians","3","0","SP"
"Vasco","Bahia","Empate","1","1",""
"Paysandu","Fluminense","Empate","2","2",""
"Atletico-MG","Sao Paulo","Empate","2","2",""
"Vitoria","Fortaleza","Vitoria","2","1","BA"
"Guarani","Internacional","Guarani","3","0","SP"
"Athletico-PR","Juventude","Athletico-PR","2","0","PR"
"Figueirense","Sao Caetano","Figueirense","3","0","SC"
"Gremio","Coritiba","Gremio","1","0","RS"
"Fluminense","Figueirense","Fluminense","3","0","RJ"
"Sao Caetano","Atletico-MG","Sao Caetano","2","0","SP"
"Juventude","Santos","Empate","1","1",""
"Bahia","Paysandu","Bahia","2","0","BA"
"Internacional","Athletico-PR","Empate","1","1",""
"Coritiba","Vasco","Empate","1","1",""
"Cruzeiro","Corinthians","Empate","1","1",""
"Fortaleza","Goias","Fortaleza","1","0","CE"
"Ponte Preta","Gremio","Ponte Preta","2","1","SP"
"Criciuma","Vitoria","Empate","1","1",""
"Flamengo","Guarani","Empate","1","1",""
"Sao Paulo","Parana","Sao Paulo","2","0","SP"
"Atletico-MG","Fluminense","Atletico-MG","3","0","MG"
"Parana","Sao Caetano","Empate","1","1",""
"Corinthians","Juventude","Corinthians","3","0","SP"
"Vasco","Ponte Preta","Vasco","1","0","RJ"
"Athletico-PR","Flamengo","Athletico-PR","4","1","PR"
"Paysandu","Coritiba","Coritiba","1","3","PR"
"Goias","Criciuma","Criciuma","0","2","SC"
"Gremio","Sao Paulo","Sao Paulo","1","2","SP"
"Guarani","Fortaleza","Guarani","2","1","SP"
"Figueirense","Bahia","Figueirense","1","0","SC"
"Vitoria","Cruzeiro","Vitoria","2","1","BA"
"Santos","Internacional","Santos","2","1","SP"
"Fluminense","Athletico-PR","Fluminense","2","1","RJ"
"Cruzeiro","Criciuma","Cruzeiro","2","0","MG"
"Coritiba","Guarani","Coritiba","3","2","PR"
"Ponte Preta","Sao Caetano","Empate","0","0",""
"Internacional","Paysandu","Internacional","2","1","RS"
"Parana","Flamengo","Parana","6","2","PR"
"Bahia","Goias","Bahia","2","1","BA"
"Fortaleza","Juventude","Fortaleza","3","1","CE"
"Figueirense","Gremio","Figueirense","2","1","SC"
"Santos","Sao Paulo","Santos","3","2","SP"
"Corinthians","Vitoria","Corinthians","4","0","SP"
"Vasco","Atletico-MG","Empate","2","2",""
"Vitoria","Fluminense","Vitoria","2","1","BA"
"Guarani","Santos","Santos","1","2","SP"
"Gremio","Fortaleza","Gremio","3","1","RS"
"Atletico-MG","Figueirense","Empate","1","1",""
"Paysandu","Parana","Paysandu","3","0","PA"
"Juventude","Vasco","Empate","0","0",""
"Athletico-PR","Ponte Preta","Athletico-PR","4","2","PR"
"Goias","Coritiba","Coritiba","1","2","PR"
"Sao Caetano","Corinthians","Sao Caetano","1","0","SP"
"Criciuma","Internacional","Criciuma","1","0","SC"
"Sao Paulo","Bahia","Empate","2","2",""
"Fluminense","Goias","Goias","2","3","GO"
"Ponte Preta","Guarani","Guarani","0","2","SP"
"Coritiba","Athletico-PR","Coritiba","2","0","PR"
"Corinthians","Sao Paulo","Sao Paulo","1","2","SP"
"Fortaleza","Paysandu","Paysandu","1","2","PA"
"Parana","Juventude","Juventude","1","2","RS"
"Gremio","Internacional","Empate","0","0",""
"Santos","Sao Caetano","Sao Caetano","0","1","SP"
"Criciuma","Figueirense","Criciuma","1","0","SC"
"Bahia","Vitoria","Bahia","2","1","BA"
"Vasco","Flamengo","Flamengo","1","2","RJ"
"Cruzeiro","Atletico-MG","Empate","0","0",""
"Bahia","Coritiba","Empate","2","2",""
"Vasco","Criciuma","Vasco","2","0","RJ"
"Atletico-MG","Gremio","Atletico-MG","3","2","MG"
"Internacional","Parana","Internacional","2","1","RS"
"Sao Paulo","Goias","Sao Paulo","1","0","SP"
"Paysandu","Flamengo","Empate","2","2",""
"Ponte Preta","Corinthians","Empate","3","3",""
"Sao Caetano","Vitoria","Sao Caetano","2","1","SP"
"Figueirense","Fortaleza","Empate","2","2",""
"Juventude","Cruzeiro","Cruzeiro","0","1","MG"
"Fluminense","Guarani","Fluminense","5","2","RJ"
"Fortaleza","Vasco","Vasco","0","1","RJ"
"Coritiba","Sao Caetano","Coritiba","2","0","PR"
"Gremio","Juventude","Juventude","1","4","RS"
"Santos","Bahia","Santos","4","0","SP"
"Flamengo","Figueirense","Figueirense","0","2","SC"
"Corinthians","Fluminense","Corinthians","1","0","SP"
"Guarani","Sao Paulo","Sao Paulo","0","1","SP"
"Criciuma","Paysandu","Criciuma","2","0","SC"
"Vitoria","Athletico-PR","Vitoria","1","0","BA"
"Cruzeiro","Internacional","Cruzeiro","3","2","MG"
"Parana","Atletico-MG","Empate","1","1",""
"Vasco","Parana","Parana","1","4","PR"
"Sao Paulo","Sao Caetano","Empate","1","1",""
"Figueirense","Cruzeiro","Figueirense","1","0","SC"
"Atletico-MG","Paysandu","Atletico-MG","3","2","MG"
"Gremio","Flamengo","Gremio","2","0","RS"
"Guarani","Goias","Guarani","3","2","SP"
"Athletico-PR","Corinthians","Athletico-PR","3","1","PR"
"Juventude","Internacional","Empate","1","1",""
"Fortaleza","Criciuma","Criciuma","0","1","SC"
"Vitoria","Ponte Preta","Ponte Preta","1","4","SP"
"Santos","Coritiba","Santos","3","1","SP"
"Fluminense","Bahia","Fluminense","1","0","RJ"
"Sao Caetano","Athletico-PR","Empate","0","0",""
"Corinthians","Santos","Empate","1","1",""
"Cruzeiro","Fortaleza","Cruzeiro","2","0","MG"
"Bahia","Guarani","Bahia","2","0","BA"
"Paysandu","Figueirense","Paysandu","1","0","PA"
"Goias","Vitoria","Empate","1","1",""
"Flamengo","Juventude","Flamengo","2","1","RJ"
"Internacional","Vasco","Internacional","2","1","RS"
"Coritiba","Sao Paulo","Sao Paulo","0","2","SP"
"Ponte Preta","Fluminense","Ponte Preta","3","0","SP"
"Criciuma","Atletico-MG","Criciuma","1","0","SC"
"Parana","Gremio","Parana","3","1","PR"
"Athletico-PR","Goias","Empate","0","0",""
"Fortaleza","Internacional","Fortaleza","3","0","CE"
"Vasco","Paysandu","Paysandu","0","2","PA"
"Atletico-MG","Flamengo","Atletico-MG","1","0","MG"
"Ponte Preta","Bahia","Ponte Preta","1","0","SP"
"Corinthians","Coritiba","Coritiba","0","1","PR"
"Criciuma","Juventude","Criciuma","3","0","SC"
"Figueirense","Parana","Figueirense","4","2","SC"
"Sao Caetano","Guarani","Guarani","0","2","SP"
"Fluminense","Sao Paulo","Sao Paulo","1","3","SP"
"Gremio","Cruzeiro","Cruzeiro","0","1","MG"
"Vitoria","Santos","Vitoria","2","0","BA"
"Flamengo","Fortaleza","Fortaleza","0","2","CE"
"Juventude","Figueirense","Figueirense","1","2","SC"
"Bahia","Sao Caetano","Empate","0","0",""
"Coritiba","Fluminense","Coritiba","3","0","PR"
"Guarani","Vitoria","Empate","2","2",""
"Internacional","Atletico-MG","Empate","3","3",""
"Santos","Ponte Preta","Santos","2","1","SP"
"Cruzeiro","Vasco","Cruzeiro","4","1","MG"
"Goias","Corinthians","Empate","1","1",""
"Paysandu","Gremio","Empate","1","1",""
"Sao Paulo","Athletico-PR","Sao Paulo","2","0","SP"
"Fluminense","Santos","Santos","1","4","SP"
"Corinthians","Guarani","Corinthians","1","0","SP"
"Fortaleza","Atletico-MG","Fortaleza","4","3","CE"
"Internacional","Figueirense","Internacional","3","0","RS"
"Juventude","Paysandu","Juventude","2","0","RS"
"Athletico-PR","Bahia","Athletico-PR","2","1","PR"
"Ponte Preta","Coritiba","Empate","1","1",""
"Criciuma","Flamengo","Criciuma","4","3","SC"
"Goias","Sao Caetano","Goias","2","1","GO"
"Vitoria","Sao Paulo","Sao Paulo","0","2","SP"
"Cruzeiro","Parana","Cruzeiro","5","1","MG"
"Vasco","Gremio","Vasco","2","0","RJ"
"Parana","Fortaleza","Parana","4","1","PR"
"Atletico-MG","Juventude","Atletico-MG","2","1","MG"
"Paysandu","Cruzeiro","Paysandu","3","0","PA"
"Guarani","Athletico-PR","Guarani","1","0","SP"
"Figueirense","Vasco","Empate","0","0",""
"Santos","Goias","Empate","3","3",""
"Bahia","Corinthians","Empate","0","0",""
"Coritiba","Vitoria","Empate","1","1",""
"Gremio","Criciuma","Criciuma","0","2","SC"
"Flamengo","Internacional","Flamengo","2","1","RJ"
"Sao Caetano","Fluminense","Sao Caetano","2","0","SP"
"Sao Paulo","Ponte Preta","Ponte Preta","1","2","SP"
"Santos","Vasco","Santos","2","1","SP"
"Goias","Atletico-MG","Empate","1","1",""
"Athletico-PR","Paysandu","Empate","1","1",""
"Fortaleza","Ponte Preta","Ponte Preta","2","3","SP"
"Juventude","Fluminense","Juventude","2","1","RS"
"Flamengo","Sao Paulo","Empate","1","1",""
"Criciuma","Coritiba","Coritiba","2","3","PR"
"Guarani","Figueirense","Guarani","3","0","SP"
"Vitoria","Parana","Parana","0","3","PR"
"Corinthians","Gremio","Corinthians","1","0","SP"
"Cruzeiro","Bahia","Cruzeiro","5","2","MG"
"Internacional","Sao Caetano","Empate","0","0",""
"Athletico-PR","Santos","Santos","0","2","SP"
"Goias","Ponte Preta","Empate","0","0",""
"Parana","Criciuma","Parana","2","1","PR"
"Fluminense","Cruzeiro","Empate","2","2",""
"Gremio","Santos","Gremio","2","0","RS"
"Sao Paulo","Internacional","Internacional","0","2","RS"
"Sao Caetano","Juventude","Empate","1","1",""
"Figueirense","Goias","Goias","0","1","GO"
"Parana","Corinthians","Empate","1","1",""
"Paysandu","Guarani","Paysandu","6","1","PA"
"Coritiba","Fortaleza","Empate","1","1",""
"Bahia","Criciuma","Empate","2","2",""
"Ponte Preta","Flamengo","Empate","1","1",""
"Vasco","Athletico-PR","Vasco","2","1","RJ"
"Atletico-MG","Vitoria","Atletico-MG","1","0","MG"
"Vitoria","Paysandu","Empate","1","1",""
"Athletico-PR","Parana","Athletico-PR","1","0","PR"
"Criciuma","Sao Caetano","Sao Caetano","0","1","SP"
"Fortaleza","Fluminense","Fortaleza","3","1","CE"
"Juventude","Ponte Preta","Empate","0","0",""
"Santos","Atletico-MG","Empate","3","3",""
"Goias","Vasco","Goias","3","1","GO"
"Cruzeiro","Sao Paulo","Empate","1","1",""
"Internacional","Coritiba","Internacional","1","0","RS"
"Flamengo","Bahia","Flamengo","6","0","RJ"
"Corinthians","Figueirense","Figueirense","0","1","SC"
